departamento,valle_del_cauca,vias_departamentales_decreto,nombre_v_a_decreto_no_0216,sub_region,micro_region,municipios,categor_a,longitud_m,longitud_km,escarpado,monta_oso,ondulado,plano,destapado,afirmado,pavimento_asfaltico,tratamiento_superficial,pavimento_r_gido,placa_huella,pavimento_articulado,otro,bueno,regular,malo,p_simo,intransitable
15,VALLE DEL CAUCA,23VL13-5,ANSERMANUEVO - LA QUIEBRA DE SAN PABLO - EL AGUILA,Norte,Norte - Cartago,Ansermanuevo - El Aguila,2,27577.12769,27.57712769,11226.02146,1865.507473,5399.318421,9086.280328,100.4549868,666.9126345,21243.34254,0.0,5566.417529,0.0,0.0,0.0,6156.420576,11119.86493,6782.910509,3517.931671,0.0
16,VALLE DEL CAUCA,23VL13-7,EL DOVIO - QUEBRADAGRANDE - VERSALLES.,Norte,Norte -Zarzal - Roldanillo,Versalles,2,19670.59339,19.67059339,3380.376612,825.3457175,3995.375877,11469.49518,0.0,199.4559089,14815.94067,0.0,4610.154764,45.04204113,0.0,0.0,4906.145754,13366.17684,1398.270793,0.0,0.0
17,VALLE DEL CAUCA,23VL13-9,ARGELIA - LA MARINA,Norte,Norte - Cartago,Argelia,2,2691.448111,2.691448111,1190.179487,54.45013732,804.839367,641.97912,0.0,0.0,0.0,0.0,2691.448111,0.0,0.0,0.0,860.0701211,1633.622639,197.7553512,0.0,0.0
18,VALLE DEL CAUCA,23VL14,CALI - YUMBO (VIA ANTIGUA),Sur,Sur - Cali,Yumbo,1,12346.90258,12.34690258,577.9445492,214.112854,722.3464218,10832.49876,0.0,0.0,11398.19055,0.0,948.7120338,0.0,0.0,0.0,11001.45809,396.7324638,948.7120338,0.0,0.0
19,VALLE DEL CAUCA,23VL15,QUEBRADA GRANDE - TORO,Norte,Norte -Zarzal - Roldanillo,Toro - La Union,2,16514.40773,16.51440773,5645.070737,1442.168109,3339.848457,6087.32043,159.705418,15361.16075,739.1649594,0.0,29.84509906,224.5315039,0.0,0.0,3505.936518,4850.560085,8157.911129,0.0,0.0
20,VALLE DEL CAUCA,23VLA,PASO POR VIJES,Sur,Sur - Cali,Vijes,3,2877.215682,2.877215682,709.5456735,325.2307499,762.8205152,1079.618744,0.0,2877.215682,0.0,0.0,0.0,0.0,0.0,0.0,346.027458,1460.845422,1070.342802,0.0,0.0
21,VALLE DEL CAUCA,25VL02,EL PLACER - CRUCE SANTA ELENA - HACIENDA EL PARAISO,Sur,Sur- Palmira,El Cerrito,2,11732.48312,11.73248312,1033.168637,237.8897527,1120.528804,9340.895929,0.0,2545.94701,9186.536113,0.0,0.0,0.0,0.0,0.0,11522.42975,0.0,0.0,210.0533777,0.0
22,VALLE DEL CAUCA,25VL03,RAMAL A GINEBRA,Sur,Sur- Palmira,Ginebra,2,5089.673086,5.089673086,0.0,0.0,53.06453986,5036.608546,0.0,0.0,5089.673086,0.0,0.0,0.0,0.0,0.0,2388.184581,503.0478638,1999.205585,199.2350563,0.0
23,VALLE DEL CAUCA,25VL03-1,GINEBRA - EL CERRITO,Sur,Sur- Palmira,Ginebra - El Cerrito,2,5839.959402,5.839959402,0.0,25.75114916,132.4127934,5681.795459,0.0,0.0,5758.732173,0.0,81.2272295,0.0,0.0,0.0,4422.115161,1316.907806,100.9364351,0.0,0.0
24,VALLE DEL CAUCA,25VL04,RÌO FRÌO - TULUA,Centro,Centro - Tulua,Tulua,2,11940.83736,11.94083736,0.0,0.0,22.89575195,11917.94161,0.0,301.7021162,11639.13524,0.0,0.0,0.0,0.0,0.0,105.9737817,11725.16008,0.0,0.0,109.7034971
25,VALLE DEL CAUCA,25VL05,ZARZAL - ROLDANILLO,Norte,Norte - Zarzal - Rodanillo,Roldanillo - Zarzal,2,8192.544196,8.192544196,67.91896447,0.0,421.8308331,7702.794399,32.22747945,0.0,7858.847151,0.0,301.4695658,0.0,0.0,0.0,4777.533225,2901.534703,411.0611285,102.4151398,0.0
26,VALLE DEL CAUCA,25VL06,LA VICTORIA - LA UNION,Norte,Norte - Zarzal - Rodanillo,Roldanillo - Zarzal,2,6346.944441,6.346944441,124.8851237,50.42054604,73.43530608,6098.203465,0.0,0.0,6346.944441,0.0,0.0,0.0,0.0,0.0,4589.525941,1757.4185,0.0,0.0,0.0
27,VALLE DEL CAUCA,25VL08,AMAIME - CRUCE VIA 3401,Sur,Sur - Palmira,Palmira,2,8391.668195,8.391668195,26.87372127,0.0,231.7808994,8133.013574,0.0,6225.705766,2057.333441,108.6289874,0.0,0.0,0.0,0.0,4222.903337,4068.008558,100.7562995,0.0,0.0
28,VALLE DEL CAUCA,25VL09,JAMUNDI - ROBLES - TIMBA,Sur,Sur - Cali,Jamundi,2,22037.59948,22.03759948,2698.651651,843.8625771,1979.745142,16515.34011,0.0,339.9611737,20825.76113,0.0,871.8771682,0.0,0.0,0.0,7168.744967,14440.96618,427.8883301,0.0,0.0
29,VALLE DEL CAUCA,25VL09-1,CRUCE JAMUNDI - POTRERITO,Sur,Sur - Cali,Jamundi,2,3573.414195,3.573414195,4.384166527,47.15317945,70.35711702,3451.519732,0.0,0.0,86.19352883,99.8152028,3387.405463,0.0,0.0,0.0,0.0,3573.414195,0.0,0.0,0.0
30,VALLE DEL CAUCA,25VL10,CAÌ‘AS GORDAS - JAMUNDI (PUENTE RIO PANCE - GLORIETA ALFAGUARA),Sur,Sur - Cali,Jamundi,2,5674.016703,5.674016703,0.0,10.12242672,128.8680056,5535.026271,295.777082,0.0,4899.174755,0.0,479.0648661,0.0,0.0,0.0,296.1108987,5278.637929,99.26787483,0.0,0.0
31,VALLE DEL CAUCA,25VL13,CANDELARIA - PRADERA,Sur,Sur - Cali,Candelaria - Pradera,2,12038.35318,12.03835318,0.0,0.0,8.313330765,12030.03985,0.0,0.0,11937.471,0.0,0.0,0.0,100.8821743,0.0,11384.22309,654.1300911,0.0,0.0,0.0
32,VALLE DEL CAUCA,25VL13-1,PALMIRA - BOLO MADREVIEJA - CRUCE CANDELARIA,Sur,Sur - Palmira,Palmira - Candelaria,2,12977.07289,12.97707289,10.34025812,0.0,32.25823184,12934.4744,96.79721542,11934.9471,858.5893201,0.0,86.73925865,0.0,0.0,0.0,2699.318736,10079.58665,198.1675053,0.0,0.0
33,VALLE DEL CAUCA,25VL14,CORONADO - ROZO - CRUCE RUTA 25VL01-1,Sur,Sur - Palmira,Palmira,2,13259.55087,13.25955087,0.0,1.550222941,57.45122372,13200.54942,0.0,0.0,12797.66255,0.0,461.8883224,0.0,0.0,0.0,10835.02654,2424.524328,0.0,0.0,0.0
34,VALLE DEL CAUCA,25VL15,GUACARI - GUABAS,Centro,Centro - Buga,Guacari,2,4116.989013,4.116989013,0.0,0.0,0.0,4116.989013,194.2545048,0.0,3922.734509,0.0,0.0,0.0,0.0,0.0,102.1566311,4014.832382,0.0,0.0,0.0
35,VALLE DEL CAUCA,25VL17,BUGA - LA HABANA - TRES ESQUINAS,Centro,Centro - Buga,Buga,2,12659.77675,12.65977675,2467.156239,571.0919902,4000.161195,5621.367322,69.80912353,416.5380647,12173.42956,0.0,0.0,0.0,0.0,0.0,3008.821685,9150.509414,500.4456469,0.0,0.0
36,VALLE DEL CAUCA,25VL22,TULUA - SAN RAFAEL - BARRAGAN - LA UNIÓN - LIMITE TOLIMA (VIA A RONCESVALLES),Centro,Centro - Tulua,Tulua- Andalucia - Sevilla,2,97425.2781,97.4252781,39964.23032,7551.791429,19007.23765,30902.0187,2332.584781,74455.06963,20435.53346,0.0,202.0902318,0.0,0.0,0.0,12317.71325,52697.04113,26954.00959,5456.514119,0.0
